metric,value,timestamp
PSNR,25.052601336176245,2025-10-26T17:32:21Z
PSNR_cropped,24.397148230590446,2025-10-26T17:32:21Z
PSNR,25.05260087594106,2025-10-26T17:35:43Z
PSNR cropped,24.397147669046674,2025-10-26T17:35:43Z
